CLASS OF VEHICLE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MOTOR CARS,22603,22237,5762," 23,072 "," 57,886 "," 31,546 "," 28,380 "," 38,780 "," 105,628 "," 45,172 "," 39,182 "," 80,776 "," 38,232 "," 21,021 "," 3,495 ", 690 
MOTOR TRICYCLES,43068,44804,37364," 85,648 "," 138,426 "," 98,815 "," 83,673 "," 79,038 "," 129,547 "," 56,945 "," 23,537 "," 20,063 "," 15,490 "," 7,150 "," 2,093 ", 17 
MOTOR CYCLES,182508,155952,135421," 204,811 "," 253,331 "," 192,284 "," 169,280 "," 272,885 "," 370,889 "," 340,129 "," 344,380 "," 339,763 "," 284,301 "," 151,634 "," 8,011 "," 3,358 "
BUSES,2637,1180,739," 2,491 "," 4,248 "," 3,095 "," 1,805 "," 3,851 "," 4,140 "," 2,685 "," 3,331 "," 2,957 "," 1,613 ", 578 , 281 , 210 
DUAL PURPOSE VEHICLES,5193,2856,1280," 11,712 "," 33,518 "," 37,397 "," 24,603 "," 20,799 "," 39,456 "," 26,887 "," 16,742 "," 16,931 "," 13,459 "," 9,532 ", 771 , 384 
MOTOR LORRIES,18408,14038,8225," 10,803 "," 12,446 "," 10,445 "," 4,525 "," 3,851 "," 5,356 "," 5,271 "," 8,689 "," 7,055 "," 3,738 "," 3,000 "," 2,593 ", 603 
PRIME MOVERS,n.a.,n.a.,n.a., 293 , 573 , 283 , 139 , 170 , 316 , 500 , 584 , 426 , 238 , 149 , 359 , 72 
LORRY TRAILERS,n.a.,n.a.,n.a., 292 , 495 , 299 , 149 , 163 , 210 , 334 , 429 , 303 , 177 , 137 , 299 , 128 
LORRY OTHERS,n.a.,n.a.,n.a., 389 ," 1,224 "," 1,143 ", 756 , 808 ," 1,214 "," 1,328 "," 1,672 "," 1,260 ", 781 , 649 ," 1,093 ", 335 
AMBULANCES,n.a.,n.a.,n.a., 53 , 58 , 66 , 292 , 111 , 32 , 118 , 33 , 325 , 286 , - , 88 , 14 
HEARSES,n.a.,n.a.,n.a., 15 , 22 , 30 , 11 , 18 , 14 , 12 , 25 , 2 , 3 , 6 , - , 1 
L.V.TRACTORS,21346,24357,13951," 17,284 "," 20,073 "," 18,450 "," 10,772 "," 7,070 "," 9,977 "," 10,285 "," 8,821 "," 7,460 "," 5,696 "," 6,025 "," 10,420 "," 2,694 "
N.A. TRACTORS,n.a.,n.a.,n.a., 79 , - , - , - , - , - , - , - , - , - , - , - , - 
L.V.TRAILERS,2129,1775,1333," 2,301 "," 3,121 "," 3,442 "," 2,266 "," 2,012 "," 2,128 "," 3,662 "," 4,228 "," 2,822 "," 1,970 "," 2,277 "," 4,344 "," 1,653 "
QUADRICYCLE,n.a.,n.a.,n.a., - , - , - , - , - , - , - , - , 654 ," 1,318 ", 470 , - , - 
MOTOR HOME,n.a.,n.a.,n.a., - , - , - , - , - , - , - , - , 2 , 1 , - , 3 , - 
